customer_tweet_id,customer_text,support_tweet_id,support_text,intent
559156,I can’t believe I’m forced to either format my iphone or buy an X with the latest update. @115858 ???,559155,"@250675 We'd like to learn more about what's going on with your iPhone. Send us a DM with the details about what's happening, along with the country you're located in. We'll see what we can do to help. https://t.co/GDrqU22YpT",ios_update
1168451,@AppleSupport Battery was on 59% phone hot plugged in 2 mins later battery on 78%??????,1168450,@394841 Thanks for reaching out to us. Please send us a DM and we can chat with you there. https://t.co/GDrqU22YpT,battery_charging
382518,@AppleSupport iphone 6,382517,@206686 Thanks for sharing. Let's take a closer look at your iPhone 6 together in DM. https://t.co/GDrqU22YpT,device_issue
761295,@AppleSupport still having this problem with iMessage even after the latest update which came out today https://t.co/V5oBQT7lv9,761294,@301896 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,app_issue
2412989,"Legit never agreed w/ a tweet more. Yo @115858 I’ve been w/ y’all since the 1st iPhone EVER &amp; iOS 11 has KILLED my iPhone 6. 128g &amp; it runs like total crap- crashing, freezing, totally unresponsive. Come on y’all, we can’t all afford a new phone just bc new software comes out. https://t.co/8ssdcarWLz",2412988,@693678 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,device_issue
1616884,"@AppleSupport 11.1.2
There are many small issues like this. And I won't restart my phone 5 times a day for all this problems. Make it is better.
iOS 11 sucks on iPhone, a lot of lag or I can say it freezes my iPhone 7.",1616882,@495812 Do you have a recent iTunes or iCloud backup of the device?,device_issue
2557337,Is anyone having trouble downloading music on @115948 ? Been trying for 2 days now. @AppleSupport,2557335,@726039 We know how convenient it is to have your device downloaded onto your device with Apple Music. Let's work together and look into this with you. Can you provide us which iOS version you're using? You can locate the iOS from Settings &gt; General &gt; About &gt; Version.,music_media
1557350,@115858 really needs to patch this keyboard issue I️,1557348,@481400 We've got a temp fix outlined here: https://t.co/xU1AGHStV6 Let us know if that helps.,device_issue
2072151,FIX THIS SHIT @AppleSupport,2072150,@612869 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,other_support
1170188,"@AppleSupport excuse me,, I have a 7 plus and it says the battery last longer, I’ve been on my phone for 5 mins, it was on 28 now it’s on 23",1170187,@395237 We’re here to help. Please DM us the software version you’re using so we can better assist you. https://t.co/GDrqU22YpT,battery_charging
