customer_tweet_id,customer_text,support_tweet_id,support_text,intent
2063899,@115858 battery issue is serious with ios11. Please fix asap #iphone,,"@158474 We're here for you! Reply by DM, and let us know the model of iPhone you have. We'll take it from there. https://t.co/GDrqU22YpT",battery_charging
483246,Yo @115948 stop randomly removing songs I downloaded it’s annoying and it’s pissing me off. 🙄 @AppleSupport,,@229945 We'd love to help. Can you provide us with the device and software version you're using? We'll do everything that we can to getting your music playing as it should.,music_media
2547236,@AppleSupport Any news about the solution of this #iPhoneX #bug ?? #appleitalia #AppleNews https://t.co/rF111i4Z2O,,@523794 We'd like to look into this with you. Please click here to connect with us in DM. We'll pick up there: https://t.co/GDrqU22YpT,device_issue
1508064,"@AppleSupport You can support me in English, if you want!",,@414843 We will do our best.  Please tell us about your issue.,other_support
2852349,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",,@793032 We'd like to help. Let us know which version of iOS you're running via DM to get started. https://t.co/GDrqU22YpT,device_issue
1698634,I have the update yet I still can’t see other people’s emojis and I have the iPhone 7 🤬 wtf @115858,,@469324 We'd like to help! Join us in DM with more details about what you see in place of emojis. https://t.co/GDrqU22YpT,device_issue
2728301,Hey @AppleSupport is it normal for the blue text to overlap like this? https://t.co/1hHJapCt1z,,@764998 We can help out. Has the Watch been restarted? If not let's do so with these steps: https://t.co/gZrStAoDfj,device_issue
1281105,@AppleSupport Nono. Even after multiple restart it won’t connect... 😰 https://t.co/ueATaLDJu8,,@419755 Let's check this out. Have you tried different internet connections?,connectivity
2015844,@115858 @AppleSupport WHY ARE THE I’S NOT I’S,,@596107 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,device_issue
792769,@AppleSupport I can’t seem to change my push notifications for my emails. The option to do this is no longer their in settings? 🤔,,"@159401 We'd love to help. You can change mail notifications under Settings 
&gt; Notifications. More info is here: https://t.co/E7sMv2aXe6",device_issue
2296270,@115858 wtf is going on I type “I” and it auto corrects to I️ like wtfffff 😤,,"@666694 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",device_issue
1716653,@115858 my apple music wont work on imac. Wtf?,,@519838 We want you to be able to listen to your music on your iMac. What exactly happens when you try to play it?,music_media
2016721,Less than two years 😩 @115858 #appleproblems 💔 https://t.co/DRrvM3YG6Q,,"@596395 We're happy to do everything we can to help. To start, please DM us with the country where you're located. https://t.co/GDrqU22YpT",other_support
412733,Yeah so the entire back of my phone doesn't work.  @AppleSupport This ain't right.  My phone is in perfect condition. 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,,@213509 Thanks for reaching out. Can you clarify what you mean so that we have a better understanding? Thank you.,device_issue
2280341,@AppleSupport @AppleSupport in the control centre too! https://t.co/5uLu2PnZC7,,@662905 We want to make sure things are working smoothly for you. Send us a DM and let us know what version of iOS you are running and we'll go from there. https://t.co/GDrqU22YpT,device_issue
1470716,@AppleSupport hola . Realice la última actualización de mi iPhone y se puso muy lento incluso me cuesta escribir mensajes . Some help pls?,,@461369 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,device_issue
2003617,@AppleSupport you roll out a new iPhone and all of a sudden my charger isn’t supported #bullshit,,"@592499 We'd be happy to look this over with you. Please meet us in DM so we may gather information, and better assist. https://t.co/GDrqU22YpT",battery_charging
2169902,Hey @115858 when are you going to fix your update mistake?,,@636553 Thanks for reaching out. We'd like to know more to assist. Let us know the exact issue you're having in a DM and we'll continue. https://t.co/GDrqU22YpT,ios_update
1404846,@AppleSupport No worries. Thank you for the automated message.,,@446609 We'd like to see how we can help you get connected with our Apple Online Store support. DM us and we'll get started: https://t.co/GDrqU22YpT,other_support
