customer_tweet_id,customer_text,expected_intent,predicted_intent,draft_reply,decision,decision_reason,evidence_1_customer,evidence_1_support,evidence_1_similarity,evidence_2_customer,evidence_2_support,evidence_2_similarity,evidence_3_customer,evidence_3_support,evidence_3_similarity
2063899,@115858 battery issue is serious with ios11. Please fix asap #iphone,battery_charging,battery_charging,Sorry you're having trouble with this. We'd be happy to look into it further. Please send us a DM so we can get more details and help you.,ESCALATE,Historical evidence is only moderate (similarity=0.372); human review is safer.,@115858 can we please fix the battery issue with #iOS11.,@605962 Having a reliable iPhone that stays charged is imperative. What kind of battery issues have you noticed? DM us here: https://t.co/GDrqU2kzhr,0.37178845752623213,@115858 battery getting killed and phone is sloooooowwwww after latest update. Please fix ASAP!,@406230 We want your update to go smoothly. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,0.35477304231470363,"One of the weirder glitches with #iOS11. Please fix this ASAP, @AppleSupport. https://t.co/NsO8FAGyRI",@501941 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.3480004585720091
483246,Yo @115948 stop randomly removing songs I downloaded it’s annoying and it’s pissing me off. 🙄 @AppleSupport,music_media,music_media,Sorry you're having trouble with this. We'd be happy to look into it further. Please send us a DM so we can get more details and help you.,ESCALATE,Historical evidence is only moderate (similarity=0.386); human review is safer.,@596344 @115858 Girl it’s pissing me off,@596343 Thanks for reaching out. We have a workaround for this here: https://t.co/qODbOsp4wz DM us if you still need help. https://t.co/GDrqU22YpT,0.38618319955907776,@515733 Yeah and it’s pissing me off @115858 @16234 @515734,@515732 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,0.36260043423010796,@393681 @115858 Same it’s pissing me off lol,@391261 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,0.36218957210143915
2547236,@AppleSupport Any news about the solution of this #iPhoneX #bug ?? #appleitalia #AppleNews https://t.co/rF111i4Z2O,device_issue,device_issue,Sorry you're having trouble with this. We'd be happy to look into it further. Please send us a DM so we can get more details and help you.,AUTO-HANDLE,Strong historical evidence was found (similarity=0.535) for this support issue.,@AppleSupport Any news,@417848 Reach back out to us in DM and we can continue working with you. https://t.co/GDrqU22YpT,0.5353893360205463,@AppleSupport Any news on Dolby Atmos for AppleTV 4K?,@260881 We're here to help. Please contact our Apple TV experts for support at:  https://t.co/IBIY3vMgPj,0.3270503786077935,@AppleSupport What’s the solution?,@510105 That’s never what we want to hear. Reach out to us in DM and we’ll help. https://t.co/GDrqU22YpT,0.31964984676987224
1508064,"@AppleSupport You can support me in English, if you want!",other_support,other_support,"Sorry you're experiencing this issue. Based on similar Apple Support cases, we'd recommend continuing with Apple Support so the issue can be investigated further.",ESCALATE,Historical evidence is only moderate (similarity=0.305); human review is safer.,@AppleSupport I can ask you in English too,@336753 How can we help you today?,0.3052070597953437,@AppleSupport I can also speak in English,@245847 Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started. https://t.co/GDrqU22YpT,0.2940258109618634,@AppleSupport You can’t type I️ bruh,@513236 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,0.2856038738189264
2852349,"Could a iPhone works worst? I cannot even call!!! With a 7!

@AppleSupport https://t.co/u7X2gRuBJU",device_issue,device_issue,"Sorry you're experiencing this issue. Based on similar Apple Support cases, we'd recommend continuing with Apple Support so the issue can be investigated further.",ESCALATE,Historical evidence is only moderate (similarity=0.289); human review is safer.,@AppleSupport My iPhone works on iOS 11.1,@447897 We're happy to hear that! Let us know if you need any help in the future.,0.28852322728885565,@AppleSupport  https://t.co/IvKwSdJubN,@172813 Perfect. Let's take a look at these steps for when Wi-Fi connections aren't connecting as expected: https://t.co/sXbhzfS2lM,0.26996635039511474,"വീണ്ടും സ്റ്റാറ്റസ് ബാർ കാണാതെ പോയി..

തിരിച്ചു താടാ @AppleSupport തെണ്ടി.. 😐 https://t.co/YWfGTodgHg",@696589 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,0.26996635039511474
1698634,I have the update yet I still can’t see other people’s emojis and I have the iPhone 7 🤬 wtf @115858,device_issue,device_issue,"Sorry you're experiencing this issue. Please make sure your device is running the latest available software update. If the issue continues, please contact Apple Support with more details.",ESCALATE,Historical evidence is only moderate (similarity=0.341); human review is safer.,I still can’t see I 😐😐😐 wtf @AppleSupport,@515484 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.3407316798346873,Does anyone know why I still see A? for emojis even though I updated my iPhone 7 Plus? I have the emojis on my phone but I can’t see other people’s emoji’s 🤔@AppleSupport,"@740339 We're here to help. This is a great question. The update fixes auto-correct on your iPhone, but it doesn't go back and fix published or sent messages.",0.33040130614180235,@AppleSupport I have the iPhone 6.,@203375 Thank you. Please use this link to send us a DM and we'll continue there: https://t.co/GDrqU22YpT,0.3271437227395044
2728301,Hey @AppleSupport is it normal for the blue text to overlap like this? https://t.co/1hHJapCt1z,device_issue,other_support,"Sorry you're experiencing this issue. Based on similar Apple Support cases, we'd recommend continuing with Apple Support so the issue can be investigated further.",ESCALATE,Historical evidence is only moderate (similarity=0.357); human review is safer.,@AppleSupport is it normal for the 6s to have problems with the home button?,@282032 We'd love to help with this. What sort of issues are you having with the Home button?,0.3565906070876294,@AppleSupport is it normal for me to have to restart my Apple TV everyday to get it to work?,"@134537 The Apple TV should not have to go through a daily restart. To look into the Apple TV, let’s get you in touch with our Apple TV pros. You can reach them here:  https://t.co/IBIY3vMgPj",0.3134061191353575,@AppleSupport Like this https://t.co/13fjhE5xSL,@232926 We've seen the issue you're talking about and we have a workaround for it: https://t.co/xXaXeeSRt9 Did that help?,0.3091798445345634
1281105,@AppleSupport Nono. Even after multiple restart it won’t connect... 😰 https://t.co/ueATaLDJu8,connectivity,connectivity,Sorry you're having trouble with this. We'd be happy to look into it further. Please send us a DM so we can get more details and help you.,AUTO-HANDLE,Strong historical evidence was found (similarity=0.592) for this support issue.,@AppleSupport upgraded iPhone 7 to iOS 11.0.3 sometimes I am unable to connect to App Store .. even after multiple restart it won’t connect,@548668 Are you now able to access the App Store after the reset? DM us if you're still having issues so we can help fix this. https://t.co/GDrqU22YpT,0.59166696438708,@AppleSupport It won’t connect to any devices,@333393 We understand. Let's take a closer look at this issue together in DM. https://t.co/GDrqU22YpT,0.3846159301837234,@AppleSupport But it won’t even activate https://t.co/YbLV8zgVHy,@592726  We're here for you. Please try these steps and DM us if you still cannot activate your iPhone: https://t.co/ywHIZGN4Ac https://t.co/GDrqU22YpT,0.2717588590135432
2015844,@115858 @AppleSupport WHY ARE THE I’S NOT I’S,device_issue,other_support,"Sorry you're experiencing this issue. Please make sure your device is running the latest available software update. If the issue continues, please contact Apple Support with more details.",AUTO-HANDLE,Strong historical evidence was found (similarity=0.474) for this support issue.,Why are the i’s not working!!?? @115858 I’m tired of this!! I️ can’t text like this.,@624310 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.4739837487644019,@AppleSupport Why are the buttons like that? https://t.co/XHgG77luaR,@149279 Let's take a look at this together. Which exact version of the operating system is your iPhone running? You can find that in Settings &gt; General &gt; About. Does this happen with any other app that you try to open from the lock screen?,0.432770123328174,why are the i’s broken? @AppleSupport,@462523 We're here for you. DM us the version of the iOS you're running using the link below to get started. https://t.co/GDrqU22YpT,0.41121887380241384
792769,@AppleSupport I can’t seem to change my push notifications for my emails. The option to do this is no longer their in settings? 🤔,device_issue,device_issue,"Sorry you're experiencing this issue. Please make sure your device is running the latest available software update. If the issue continues, please contact Apple Support with more details.",ESCALATE,Historical evidence is only moderate (similarity=0.328); human review is safer.,@AppleSupport Thanks! How do I get push notifications for updates?,"@652239 If an update is available, you should receive them automatically.",0.3278859042533596,@AppleSupport can’t seem to change my music playing on my phone via workout on the #AppleWatch anymore?! Where’s this gone?,@174562 We're glad you asked. Now you can create a playlist on your Apple Watch. Check this out: https://t.co/kPrTO9IGph,0.273524128046973,@AppleSupport why does my watch do this with push notifications https://t.co/rPcKlWObEZ,"@158821 Let's meet up in DM, you can reach us at the link below. https://t.co/GDrqU22YpT",0.25283328672790306
